SET
niche_id	platform	published_at	hook	caption
anime	threads	2026-07-22	Wuthering waves anime announcement? #Wutheringwaves #wuwa...	Wuthering waves anime announcement? #Wutheringwaves #wuwa #wuwacreator #fyp #wuwacontest35  Via F2pgacha  #Anime #AnimeReels #Wuthering  🎬 Original: @F2pgacha —  Save this for later!
anime	facebook	2026-07-22	Wuthering waves anime announcement? #Wutheringwaves #wuwa...	Wuthering waves anime announcement? #Wutheringwaves #wuwa #wuwacreator #fyp #wuwacontest35  Via F2pgacha  #Anime #AnimeReels #Wuthering  🎬 Original: @F2pgacha —  Save this for later!
anime	youtube	2026-07-22	Wuthering waves anime announcement? #Wutheringwaves #wuwa...	Wuthering waves anime announcement? #Wutheringwaves #wuwa #wuwacreator #fyp #wuwacontest35  Via F2pgacha  #Anime #AnimeReels #Wuthering  🎬 Original: @F2pgacha —  Save this for later!
anime	instagram	2026-07-22	Wuthering waves anime announcement? #Wutheringwaves #wuwa...	Wuthering waves anime announcement? #Wutheringwaves #wuwa #wuwacreator #fyp #wuwacontest35  Via F2pgacha  #Anime #AnimeReels #Wuthering  🎬 Original: @F2pgacha —  Save this for later!
sports	threads	2026-07-22	[Highlight] Michael Busch hits a home run to fellow Cubs’...	[Highlight] Michael Busch hits a home run to fellow Cubs’ first baseman Anthony Rizzo in the bleachers  Via r/baseball  #Sports #SportsHighlights #MLB  🎬 Original: @r/baseball —  Save this for later!
sports	facebook	2026-07-22	[Highlight] Michael Busch hits a home run to fellow Cubs’...	[Highlight] Michael Busch hits a home run to fellow Cubs’ first baseman Anthony Rizzo in the bleachers  Via r/baseball  #Sports #SportsHighlights #MLB  🎬 Original: @r/baseball —  Save this for later!
sports	youtube	2026-07-22	[Highlight] Michael Busch hits a home run to fellow Cubs’...	[Highlight] Michael Busch hits a home run to fellow Cubs’ first baseman Anthony Rizzo in the bleachers  Via r/baseball  #Sports #SportsHighlights #MLB  🎬 Original: @r/baseball —  Save this for later!
sports	instagram	2026-07-22	[Highlight] Michael Busch hits a home run to fellow Cubs’...	[Highlight] Michael Busch hits a home run to fellow Cubs’ first baseman Anthony Rizzo in the bleachers  Via r/baseball  #Sports #SportsHighlights #MLB  🎬 Original: @r/baseball —  Save this for later!
gaming	threads	2026-07-22	Why is Clix grinding off-spawn with Mero right now?	Clix and Mero just locked in for off-spawn practice and the mechanics are clean. This is the type of grind that wins tournaments.  Drop your take below 👇  #Fortnite #CompetitiveGaming #EsportsTrain  🎬
gaming	facebook	2026-07-22	Why is Clix grinding off-spawn with Mero right now?	Clix and Mero just locked in for off-spawn practice and the mechanics are clean. This is the type of grind that wins tournaments.  Drop your take below 👇  #Fortnite #CompetitiveGaming #EsportsTrain  🎬
gaming	youtube	2026-07-22	Why is Clix grinding off-spawn with Mero right now?	Clix and Mero just locked in for off-spawn practice and the mechanics are clean. This is the type of grind that wins tournaments.  Drop your take below 👇  #Fortnite #CompetitiveGaming #EsportsTrain  🎬
gaming	instagram	2026-07-22	Why is Clix grinding off-spawn with Mero right now?	Clix and Mero just locked in for off-spawn practice and the mechanics are clean. This is the type of grind that wins tournaments.  Drop your take below 👇  #Fortnite #CompetitiveGaming #EsportsTrain  🎬
ai_creators	threads	2026-07-22	How Virgin Atlantic Uses ChatGPT Work to Turn Weeks of Wo...	How Virgin Atlantic Uses ChatGPT Work to Turn Weeks of Work Into Hours  Via OpenAI  #AI #AITools #ChatGPT  🎬 Original: @OpenAI —  Save this for later!
ai_creators	facebook	2026-07-22	How Virgin Atlantic Uses ChatGPT Work to Turn Weeks of Wo...	How Virgin Atlantic Uses ChatGPT Work to Turn Weeks of Work Into Hours  Via OpenAI  #AI #AITools #ChatGPT  🎬 Original: @OpenAI —  Save this for later!
ai_creators	youtube	2026-07-22	How Virgin Atlantic Uses ChatGPT Work to Turn Weeks of Wo...	How Virgin Atlantic Uses ChatGPT Work to Turn Weeks of Work Into Hours  Via OpenAI  #AI #AITools #ChatGPT  🎬 Original: @OpenAI —  Save this for later!
ai_creators	instagram	2026-07-22	How Virgin Atlantic Uses ChatGPT Work to Turn Weeks of Wo...	How Virgin Atlantic Uses ChatGPT Work to Turn Weeks of Work Into Hours  Via OpenAI  #AI #AITools #ChatGPT  🎬 Original: @OpenAI —  Save this for later!
sports	youtube	2026-07-19	Why couldn't Nikishin get the Stanley Cup to Turkey?	Nikishin wanted to celebrate with family in Turkey. The Cup logistics said absolutely not. Even the simplest plans fell apart. 🏆  Agree or nah?  #Sports #SportsHighlights #Alexander  🎬 Original: @r/ho
gaming	youtube	2026-07-19	Why is Palworld suddenly #1 on Twitch right now?	Palworld just hit trending and nobody saw it coming. The creature-catching meets survival game is absolutely broken in the best way possible.  Drop your...  #Palworld #TwitchTrending #GamingNow #1  🎬 
ai_creators	youtube	2026-07-19	Can a Chinese LLM actually beat OpenAI's best benchmark?	Kimi K3 just topped FABLE — a benchmark OpenAI was dominating weeks ago. 😳 A model most people haven't even tried is...  #ArtificialIntelligence #LargeLanguageModel #KimiK3 #LLMBenchmark #AINews  Save
anime	youtube	2026-07-18	Why anime turns normal people into sleep-deprived...	The before-and-after pipeline is real. One episode of Demon Slayer and suddenly you're rewatching Naruto filler arcs at 3am analyzing character development. 😭  Caught...  #Anime #AnimeReels #Naruto  S
sports	youtube	2026-07-18	Fan brings a glove, watches the game-tying homer sail past	You bring a glove to the ballpark to look cool, not to actually use it apparently. Schwarber's go-ahead shot bounces off the railing because this guy decided to...  #Sports #SportsHighlights #MLB  Sav
gaming	youtube	2026-07-18	Why is imprisoning Pals the actual meta strat?	Palworld's dark side just hit different. Turns out locking your team in cages overnight is broken af. 💀  Drop your take below 👇  #Palworld #GamingMeta #TwitchTrending  🎬 Original: @TheBurntPeanut — ht
sports	threads	2026-07-17	Zverev impresses the Royal Box with this brilliant point!	That's the kind of point that gets royalty on their feet. Zverev's timing against Sinner was absolutely surgical here—the kind of tennis that reminds you why...  #Wimbledon #Tennis #Zverev  Save this 
sports	facebook	2026-07-17	Zverev impresses the Royal Box with this brilliant point!	That's the kind of point that gets royalty on their feet. Zverev's timing against Sinner was absolutely surgical here—the kind of tennis that reminds you why...  #Wimbledon #Tennis #Zverev  Save this 
sports	youtube	2026-07-17	Zverev impresses the Royal Box with this brilliant point!	That's the kind of point that gets royalty on their feet. Zverev's timing against Sinner was absolutely surgical here—the kind of tennis that reminds you why...  #Wimbledon #Tennis #Zverev  Save this 
sports	instagram	2026-07-17	Zverev impresses the Royal Box with this brilliant point!	That's the kind of point that gets royalty on their feet. Zverev's timing against Sinner was absolutely surgical here—the kind of tennis that reminds you why...  #Wimbledon #Tennis #Zverev  Save this 
anime	facebook	2026-07-16	Why this manga made artists choose between their dreams...	A manga about an artist who has to finish their masterpiece before they die. The premise alone hits different when you know how many mangaka are actually...  Are you watching this?  #Anime #Manga  🎬 O
anime	youtube	2026-07-16	Why this manga made artists choose between their dreams...	A manga about an artist who has to finish their masterpiece before they die. The premise alone hits different when you know how many mangaka are actually...  Are you watching this?  #Anime #Manga  🎬 O
anime	instagram	2026-07-16	Why this manga made artists choose between their dreams...	A manga about an artist who has to finish their masterpiece before they die. The premise alone hits different when you know how many mangaka are actually...  Are you watching this?  #Anime #Manga  🎬 O
movies	facebook	2026-07-16	Pam Voorhees before Jason—the origin story nobody asked for	They're rewriting Friday the 13th from the killer's perspective. Pam Voorhees gets a prequel series and suddenly we're supposed to understand why she became... That....  #Movies #Cinema #Trailer  Save
movies	youtube	2026-07-16	Pam Voorhees before Jason—the origin story nobody asked for	They're rewriting Friday the 13th from the killer's perspective. Pam Voorhees gets a prequel series and suddenly we're supposed to understand why she became... That....  #Movies #Cinema #Trailer  Save
movies	instagram	2026-07-16	Pam Voorhees before Jason—the origin story nobody asked for	They're rewriting Friday the 13th from the killer's perspective. Pam Voorhees gets a prequel series and suddenly we're supposed to understand why she became... That....  #Movies #Cinema #Trailer  Save
sports	threads	2026-07-16	What did Sinner pull off that had Hiddleston jumping?	This point had Hiddleston, JLo, and Andrew Garfield all losing it at the same time. Sinner and Zverev turned Centre Court into a full-on...  Who's your pick?  #Sports #SportsHighlights  🎬 Original: @W
sports	facebook	2026-07-16	What did Sinner pull off that had Hiddleston jumping?	This point had Hiddleston, JLo, and Andrew Garfield all losing it at the same time. Sinner and Zverev turned Centre Court into a full-on...  Who's your pick?  #Sports #SportsHighlights  🎬 Original: @W
sports	youtube	2026-07-16	What did Sinner pull off that had Hiddleston jumping?	This point had Hiddleston, JLo, and Andrew Garfield all losing it at the same time. Sinner and Zverev turned Centre Court into a full-on...  Who's your pick?  #Sports #SportsHighlights  🎬 Original: @W
sports	instagram	2026-07-16	What did Sinner pull off that had Hiddleston jumping?	This point had Hiddleston, JLo, and Andrew Garfield all losing it at the same time. Sinner and Zverev turned Centre Court into a full-on...  Who's your pick?  #Sports #SportsHighlights  🎬 Original: @W
gaming	facebook	2026-07-16	How's a 1x FNCS champ placing top 3 while sick?	Sick, low energy, and still cracking top 3 at FNCS. This is what separates the goated from the rest. 🎮  Tag someone who'd do the same  Tag someone who mains this  #Gaming #GamingReels #Fortnite  🎬 Ori
gaming	youtube	2026-07-16	How's a 1x FNCS champ placing top 3 while sick?	Sick, low energy, and still cracking top 3 at FNCS. This is what separates the goated from the rest. 🎮  Tag someone who'd do the same  Tag someone who mains this  #Gaming #GamingReels #Fortnite  🎬 Ori
gaming	instagram	2026-07-16	How's a 1x FNCS champ placing top 3 while sick?	Sick, low energy, and still cracking top 3 at FNCS. This is what separates the goated from the rest. 🎮  Tag someone who'd do the same  Tag someone who mains this  #Gaming #GamingReels #Fortnite  🎬 Ori
ai_creators	threads	2026-07-16	GPT-5.6 cleared — and that's the scary part	Not banned doesn't mean safe. GPT-5.6 just got the green light and somehow that's the more unsettling outcome. 😳 OpenAI is moving faster...  #OpenAI #ChatGPT #ArtificialIntelligence #LLM #AINews  Save
ai_creators	facebook	2026-07-16	GPT-5.6 cleared — and that's the scary part	Not banned doesn't mean safe. GPT-5.6 just got the green light and somehow that's the more unsettling outcome. 😳 OpenAI is moving faster...  #OpenAI #ChatGPT #ArtificialIntelligence #LLM #AINews  Save
ai_creators	youtube	2026-07-16	GPT-5.6 cleared — and that's the scary part	Not banned doesn't mean safe. GPT-5.6 just got the green light and somehow that's the more unsettling outcome. 😳 OpenAI is moving faster...  #OpenAI #ChatGPT #ArtificialIntelligence #LLM #AINews  Save
ai_creators	instagram	2026-07-16	GPT-5.6 cleared — and that's the scary part	Not banned doesn't mean safe. GPT-5.6 just got the green light and somehow that's the more unsettling outcome. 😳 OpenAI is moving faster...  #OpenAI #ChatGPT #ArtificialIntelligence #LLM #AINews  Save
anime	facebook	2026-07-15	Why this 90s anime predicted the entire metaverse	Sparks of Tomorrow is literally a time capsule. This show mapped out the digital future before we even had smartphones, and nobody's talking about it. The cyberpunk blueprint was...  #Anime #Manga  Sa
anime	youtube	2026-07-15	Why this 90s anime predicted the entire metaverse	Sparks of Tomorrow is literally a time capsule. This show mapped out the digital future before we even had smartphones, and nobody's talking about it. The cyberpunk blueprint was...  #Anime #Manga  Sa
anime	instagram	2026-07-15	Why this 90s anime predicted the entire metaverse	Sparks of Tomorrow is literally a time capsule. This show mapped out the digital future before we even had smartphones, and nobody's talking about it. The cyberpunk blueprint was...  #Anime #Manga  Sa
movies	facebook	2026-07-15	Scott Pilgrim's girlfriend comes with a seven-person hit...	Edgar Wright made a seven-man gauntlet out of relationship baggage and somehow it's the most fun premise ever. Scott Pilgrim still holds up because the movie understands...  #Movies #Cinema #You  Save
movies	youtube	2026-07-15	Scott Pilgrim's girlfriend comes with a seven-person hit...	Edgar Wright made a seven-man gauntlet out of relationship baggage and somehow it's the most fun premise ever. Scott Pilgrim still holds up because the movie understands...  #Movies #Cinema #You  Save
movies	instagram	2026-07-15	Scott Pilgrim's girlfriend comes with a seven-person hit...	Edgar Wright made a seven-man gauntlet out of relationship baggage and somehow it's the most fun premise ever. Scott Pilgrim still holds up because the movie understands...  #Movies #Cinema #You  Save
sports	threads	2026-07-15	Why is Paddy Pimblett destroying pizza backstage at UFC 329?	Paddy's got that post-fight hunger no security guard can stop. This man just fought and now he's fighting a pizza box. 😭  Rate this play 1-10  #Sports #SportsHighlights #UFC  🎬 Original: @UFC — https:
sports	facebook	2026-07-15	Why is Paddy Pimblett destroying pizza backstage at UFC 329?	Paddy's got that post-fight hunger no security guard can stop. This man just fought and now he's fighting a pizza box. 😭  Rate this play 1-10  #Sports #SportsHighlights #UFC  🎬 Original: @UFC — https:
sports	youtube	2026-07-15	Why is Paddy Pimblett destroying pizza backstage at UFC 329?	Paddy's got that post-fight hunger no security guard can stop. This man just fought and now he's fighting a pizza box. 😭  Rate this play 1-10  #Sports #SportsHighlights #UFC  🎬 Original: @UFC — https:
sports	instagram	2026-07-15	Why is Paddy Pimblett destroying pizza backstage at UFC 329?	Paddy's got that post-fight hunger no security guard can stop. This man just fought and now he's fighting a pizza box. 😭  Rate this play 1-10  #Sports #SportsHighlights #UFC  🎬 Original: @UFC — https:
ai_creators	threads	2026-07-15	How Chazelle hid real NASA footage inside First Man	They didn't recreate the Apollo launch. They just used the actual footage. 😳 Damien Chazelle cut real NASA archival film into First Man so...  #FirstMan #VFX #Filmmaking #VisualEffects #RyanGosling  S
ai_creators	facebook	2026-07-15	How Chazelle hid real NASA footage inside First Man	They didn't recreate the Apollo launch. They just used the actual footage. 😳 Damien Chazelle cut real NASA archival film into First Man so...  #FirstMan #VFX #Filmmaking #VisualEffects #RyanGosling  S
ai_creators	youtube	2026-07-15	How Chazelle hid real NASA footage inside First Man	They didn't recreate the Apollo launch. They just used the actual footage. 😳 Damien Chazelle cut real NASA archival film into First Man so...  #FirstMan #VFX #Filmmaking #VisualEffects #RyanGosling  S
ai_creators	instagram	2026-07-15	How Chazelle hid real NASA footage inside First Man	They didn't recreate the Apollo launch. They just used the actual footage. 😳 Damien Chazelle cut real NASA archival film into First Man so...  #FirstMan #VFX #Filmmaking #VisualEffects #RyanGosling  S
anime	facebook	2026-07-14	Why Rudeus' power scared Nina the most	Nina's face when Rudeus pulled that out is all of us. Mushoku Tensei Season 3 isn't playing around anymore. 🔥  Caught up yet?  #Anime #Manga #Nina #Couldn #Believe  🎬 Original: https://www.youtube.com
movies	facebook	2026-07-14	Why did they send him into the wilderness with a death...	1933 Oregon. A father torn from his daughter, a warden's impossible deal, and gold buried in terrain that kills. The Weight looks like it's built on betrayal and...  #Movies #Cinema #Trailer  Save thi
movies	youtube	2026-07-14	Why did they send him into the wilderness with a death...	1933 Oregon. A father torn from his daughter, a warden's impossible deal, and gold buried in terrain that kills. The Weight looks like it's built on betrayal and...  #Movies #Cinema #Trailer  Save thi
movies	instagram	2026-07-14	Why did they send him into the wilderness with a death...	1933 Oregon. A father torn from his daughter, a warden's impossible deal, and gold buried in terrain that kills. The Weight looks like it's built on betrayal and...  #Movies #Cinema #Trailer  Save thi
movies	youtube	2026-07-14	Pixar's bringing Woody back after 9 years	Toy Story 5 is actually happening. Woody's returning, the animation looks insane, and somehow Pixar is making us care about toys again. This better...  Best film of the year?  #Movies #Cinema #Toy  🎬 
gaming	facebook	2026-07-14	Cloudrooms hit Twitch #1 and nobody knows why	Cloudrooms is dominating Twitch right now and nobody knows what it is. The mystery alone has it trending harder than most actual games. Drop your take...  #TwitchTrending #CloudRooms #WhatIsThis  🎬 Or
gaming	youtube	2026-07-14	Cloudrooms hit Twitch #1 and nobody knows why	Cloudrooms is dominating Twitch right now and nobody knows what it is. The mystery alone has it trending harder than most actual games. Drop your take...  #TwitchTrending #CloudRooms #WhatIsThis  🎬 Or
(100 rows)
